Id,CreationDate,PostId,RelatedPostId,LinkTypeId
19445,2011-08-17T08:03:13.110,492,489,1
19821,2011-08-18T14:28:59.907,494,246,1
20672,2011-08-25T14:13:16.600,516,374,1
21898,2011-09-05T07:45:31.790,535,47,1
23549,2011-09-15T17:19:45.717,551,545,1
23575,2011-09-15T17:23:32.393,545,551,1
24976,2011-09-23T08:57:05.310,566,557,1
25228,2011-09-24T23:20:25.520,566,246,1
30274,2011-11-30T04:38:06.673,628,494,1
30583,2011-12-27T11:01:13.793,654,422,1
30656,2011-12-31T06:34:18.097,658,655,1
31702,2012-03-01T03:41:55.930,718,628,1
31703,2012-03-01T03:41:55.930,718,494,1
32331,2012-03-29T08:32:49.703,748,731,1
32332,2012-03-29T08:37:38.807,730,731,1
32333,2012-03-29T08:37:38.807,730,744,1
32336,2012-03-29T14:13:17.130,750,345,1
32497,2012-04-02T19:29:22.513,730,356,1
32634,2012-04-07T13:33:53.620,761,731,1
32723,2012-04-10T10:24:13.997,764,104,1
32827,2012-04-15T20:48:48.977,770,731,1
33008,2012-04-24T21:27:53.263,776,731,1
33201,2012-05-02T16:37:38.767,782,731,1
33423,2012-05-24T20:14:43.673,785,731,1
33478,2012-05-28T12:25:44.873,792,731,1
33597,2012-06-06T07:51:22.870,798,731,1
33860,2012-06-14T11:01:16.610,823,813,1
33890,2012-06-14T17:37:48.030,827,374,1
33948,2012-06-18T04:47:36.217,832,798,1
33984,2012-06-18T08:19:04.740,832,446,1
34043,2012-06-23T23:56:53.127,810,741,1
34080,2012-06-26T10:19:00.217,813,823,1
34095,2012-06-27T10:09:15.340,839,731,1
34168,2012-06-27T18:34:23.457,813,841,1
34182,2012-06-29T15:13:33.873,813,464,1
34192,2012-06-29T20:56:02.903,849,813,1
34193,2012-06-29T20:56:02.903,849,823,1
34578,2012-07-21T12:20:05.150,862,494,1
34579,2012-07-21T12:20:05.150,862,718,1
34604,2012-07-24T16:12:32.193,865,731,1
34923,2012-08-06T12:42:46.623,880,81,1
34937,2012-08-07T08:26:59.647,886,731,1
34964,2012-08-07T08:54:39.127,887,880,1
35134,2012-08-10T18:15:30.520,13,2,1
35138,2012-08-10T18:40:04.180,897,14,1
35139,2012-08-10T18:40:04.180,897,117,1
35140,2012-08-10T18:40:04.180,897,290,1
35141,2012-08-10T18:40:04.180,897,296,1
35274,2012-08-12T18:40:38.830,903,897,1
35275,2012-08-12T18:40:55.833,897,903,1
35276,2012-08-12T18:41:50.747,903,290,1
35397,2012-08-14T09:08:20.670,911,897,1
35398,2012-08-14T09:08:20.670,911,903,1
35422,2012-08-14T19:18:18.073,911,117,1
35499,2012-08-18T16:06:33.690,921,897,1
35606,2012-08-22T19:43:29.850,927,827,1
35607,2012-08-22T19:43:29.850,927,374,1
35608,2012-08-22T19:43:29.850,927,516,1
35672,2012-08-23T08:43:25.013,931,731,1
35705,2012-08-23T21:55:13.797,933,924,1
35706,2012-08-23T21:55:13.797,933,422,1
35732,2012-08-23T22:09:57.400,933,878,1
35733,2012-08-23T22:16:19.357,933,911,1
35745,2012-08-24T07:54:45.883,958,422,1
35904,2012-08-28T20:13:59.143,924,933,1
35939,2012-08-28T20:24:51.760,972,971,1
36289,2012-09-04T16:49:17.443,986,731,1
36569,2012-09-14T12:51:43.840,992,731,1
36832,2012-09-27T10:30:20.650,1007,731,1
36947,2012-10-01T11:27:45.687,1013,1007,1
36948,2012-10-01T11:29:46.793,1014,731,1
36974,2012-10-01T11:30:13.953,1013,1014,1
37006,2012-10-03T20:24:22.547,1018,731,1
37032,2012-10-03T20:28:07.413,1014,1018,1
37041,2012-10-03T22:24:54.870,372,1018,1
37409,2012-10-24T14:54:39.800,1037,692,1
37687,2012-11-10T03:48:06.283,1048,841,1
37810,2012-11-19T17:12:54.520,1058,117,1
37972,2012-11-27T12:26:45.353,1067,741,1
37973,2012-11-27T12:27:35.530,1067,810,1
38005,2012-11-27T13:29:43.043,1068,1018,1
38350,2012-12-10T15:39:00.833,372,1085,1
38354,2012-12-10T18:59:51.530,1085,1018,1
38481,2012-12-19T16:39:50.487,1106,958,1
38507,2012-12-19T17:55:45.253,1106,422,1
41818,2013-01-16T09:36:55.883,1137,741,1
41819,2013-01-16T09:38:30.470,1137,810,1
43798,2013-02-18T03:03:28.367,372,1085,3
43799,2013-02-18T03:03:28.367,422,1106,3
43800,2013-02-18T03:03:28.367,435,433,3
43801,2013-02-18T03:03:28.367,654,422,3
43802,2013-02-18T03:03:28.367,958,1106,3
43803,2013-02-18T03:03:28.367,972,971,3
43804,2013-02-18T03:03:28.367,1067,741,3
43805,2013-02-18T03:03:28.367,1068,1018,3
45960,2013-04-19T21:51:03.893,1236,1117,1
46129,2013-05-02T07:07:49.830,1211,1242,1
46443,2013-06-01T12:21:34.713,1283,1117,1
46617,2013-06-13T20:10:47.990,1302,1117,1
46747,2013-06-20T16:51:42.547,1312,28,1
46748,2013-06-20T16:51:42.547,1312,311,1
46749,2013-06-20T16:51:42.547,1312,464,1
46823,2013-06-25T13:26:16.413,1277,903,3
46877,2013-06-27T00:32:52.037,1326,897,1
46912,2013-07-01T10:35:17.643,1332,1117,1
46988,2013-07-08T15:02:51.250,1336,1117,1
47105,2013-07-17T21:42:01.423,1339,1336,1
47462,2013-08-12T02:38:31.977,1369,741,1
47463,2013-08-12T02:46:07.657,1369,1312,1
47467,2013-08-12T08:03:08.310,1369,28,1
47468,2013-08-12T08:03:08.310,1369,464,1
47484,2013-08-15T03:57:32.750,1369,667,1
47609,2013-08-23T20:15:06.370,1384,1369,1
47610,2013-08-23T20:15:06.370,1384,741,1
47666,2013-08-26T14:31:40.723,1389,1106,1
47854,2013-09-13T17:16:18.337,1369,1384,1
47909,2013-09-19T16:00:16.463,1407,439,3
48096,2013-10-02T12:21:58.883,880,1412,1
48315,2013-10-19T14:54:25.573,1416,1117,1
48738,2013-11-25T10:25:15.050,1453,1379,1
48806,2013-12-06T11:31:40.137,1085,1457,3
49096,2014-01-05T08:46:39.237,1480,1408,1
49104,2014-01-05T22:58:13.477,1481,1117,1
50249,2014-05-09T08:00:39.793,1550,1533,3
51241,2014-08-04T16:17:13.153,1593,1585,1
51678,2014-09-03T20:40:45.707,1640,1638,1
51679,2014-09-03T20:41:08.007,1638,1640,1
52285,2014-10-17T19:07:02.303,1670,1106,1
52377,2014-11-04T13:54:31.160,1677,1595,1
52643,2014-12-05T09:04:31.477,1684,813,1
53321,2015-01-01T03:09:06.497,1457,1694,3
53393,2015-01-08T22:46:20.863,1701,897,1
53466,2015-01-13T17:29:43.103,1694,880,1
53467,2015-01-13T17:31:11.587,1694,368,1
53512,2015-02-09T16:16:48.960,1716,1073,1
53893,2015-03-03T15:22:48.247,1733,1211,1
53979,2015-03-10T18:21:24.507,1744,1715,1
54326,2015-04-19T09:07:56.403,1769,1715,1
54336,2015-04-20T11:37:01.960,1776,422,1
54489,2015-05-03T13:32:30.620,1795,1715,1
54654,2015-05-21T16:47:48.960,1817,1807,1
54655,2015-05-22T09:44:37.357,1817,704,1
54658,2015-05-23T19:43:54.790,704,1817,1
54681,2015-05-26T21:41:00.833,1826,684,1
54706,2015-05-28T08:53:19.157,1828,1819,1
55045,2015-06-10T10:43:12.003,1834,1585,1
55112,2015-06-16T06:42:05.633,1838,1585,1
55113,2015-06-16T06:42:53.423,1838,1834,1
55192,2015-06-21T01:04:38.477,1846,810,1
55444,2015-07-17T17:43:29.153,1863,1807,1
55448,2015-07-18T14:31:02.227,1863,1836,1
55473,2015-07-20T00:22:03.587,1879,1882,1
55485,2015-07-20T20:01:16.283,1887,1863,1
55486,2015-07-20T20:01:16.283,1887,1807,1
55497,2015-07-20T20:01:41.590,1863,1887,1
55578,2015-07-31T07:57:01.657,1904,1121,1
55645,2015-08-06T15:48:15.863,1911,1303,1
55941,2015-08-11T14:45:59.947,1911,1303,3
55961,2015-08-14T15:37:35.670,1920,270,1
56247,2015-08-30T17:26:23.757,1715,1415,1
56312,2015-09-02T14:50:56.050,1949,1817,1
56313,2015-09-02T16:17:09.950,1949,1817,3
56334,2015-09-02T22:17:51.267,1963,1960,1
56339,2015-09-02T22:22:47.620,1960,1963,1
56505,2015-09-12T13:09:34.413,1953,1807,1
56579,2015-09-18T08:40:00.910,2002,2000,1
56590,2015-09-18T08:43:41.763,2000,2002,1
56612,2015-09-22T14:23:24.247,2006,1772,1
57285,2015-10-22T05:35:17.920,1834,1940,1
57323,2015-10-23T15:28:09.583,2050,1955,1
57432,2015-11-01T02:43:01.790,2037,1409,1
57462,2015-11-02T20:37:07.403,2067,1955,1
57477,2015-11-03T23:08:33.843,2050,1955,3
57568,2015-11-15T10:51:58.717,2075,2078,1
57901,2015-12-09T11:35:01.267,2097,1694,1
57912,2015-12-09T11:35:40.813,1694,2097,1
58038,2015-12-17T23:13:02.903,2104,1117,1
58207,2015-12-29T19:59:34.343,2118,1412,1
58218,2015-12-29T20:49:41.643,2119,1117,1
58233,2015-12-30T09:55:30.397,2120,1412,1
58266,2016-01-01T08:44:30.083,2120,2118,1
58270,2016-01-01T15:26:38.897,2123,1303,1
58305,2016-01-02T10:11:38.653,2107,2125,1
58342,2016-01-04T12:56:50.947,2128,1291,1
58347,2016-01-04T13:18:01.150,2130,1291,1
58372,2016-01-05T23:22:45.973,2132,1117,1
59268,2016-02-25T15:31:01.913,2210,104,3
59343,2016-03-01T19:56:23.817,2219,2205,1
59382,2016-03-02T08:35:47.043,2220,2222,1
59394,2016-03-02T13:02:52.197,2225,1117,1
59405,2016-03-03T03:37:33.463,2227,2220,1
59513,2016-03-07T17:03:39.473,2237,2180,1
59526,2016-03-07T22:42:06.110,2237,2191,1
59543,2016-03-09T13:08:39.630,2242,1117,1
59713,2016-03-21T02:20:01.983,2266,2109,1
60308,2016-04-19T18:54:39.860,2315,897,1
60311,2016-04-19T22:17:46.157,2321,2282,1
60358,2016-04-22T07:58:34.757,2325,612,1
60359,2016-04-22T07:58:34.757,2325,1935,1
60360,2016-04-22T07:58:34.757,2325,1073,1
62067,2016-06-07T14:21:05.110,2389,2180,1
62120,2016-06-09T11:32:24.903,2399,897,1
62169,2016-06-13T15:02:22.723,2406,1715,1
62268,2016-06-23T15:07:39.767,2414,1602,1
62290,2016-06-24T10:19:10.537,2416,2125,1
62302,2016-06-24T17:12:29.163,2414,2416,1
62433,2016-07-05T13:40:21.937,2429,2424,1
62577,2016-07-20T18:53:16.193,2445,750,1
62588,2016-07-20T20:57:01.480,2445,750,3
62649,2016-07-31T21:25:02.243,2452,1117,1
62844,2016-08-08T15:11:40.740,2458,734,1
62876,2016-08-11T08:54:37.193,2456,2067,1
62905,2016-08-11T19:55:08.367,2463,1986,1
63101,2016-09-01T13:46:06.807,2473,1635,1
63230,2016-09-21T00:53:46.970,2491,631,1
63886,2016-11-17T14:06:32.930,2553,2515,1
64207,2016-12-05T12:26:12.087,2569,2505,1
64296,2016-12-08T14:48:43.667,2577,1361,1
64423,2016-12-19T20:27:18.340,2587,2515,1
64424,2016-12-19T20:27:18.340,2587,2553,1
64634,2017-01-07T22:57:47.610,2608,311,1
64640,2017-01-08T00:13:57.240,2608,464,1
64726,2017-01-19T03:22:03.637,2616,2608,1
64957,2017-02-02T20:06:14.820,2630,2144,1
64986,2017-02-05T02:59:36.810,2639,1117,1
65117,2017-02-22T03:24:01.337,2651,2486,1
65168,2017-03-01T08:51:10.440,2657,2276,1
65248,2017-03-10T03:45:50.273,2668,2587,1
65249,2017-03-10T03:45:50.273,2668,2639,1
65262,2017-03-10T06:37:33.950,2668,2614,1
65298,2017-03-15T15:18:12.567,1231,813,1
65299,2017-03-15T15:18:12.567,1251,1117,1
65300,2017-03-15T15:18:12.567,1387,1117,1
65301,2017-03-15T15:18:12.567,1397,14,1
65302,2017-03-15T15:18:12.567,1397,296,1
65303,2017-03-15T15:18:12.567,1397,897,1
65304,2017-03-15T15:18:12.567,1397,911,1
65315,2017-03-15T15:18:26.913,31,13,1
65316,2017-03-15T15:18:26.913,419,246,1
65317,2017-03-15T15:18:26.913,1339,1117,1
65318,2017-03-15T15:18:26.913,1346,1117,1
65319,2017-03-15T15:18:26.913,1346,1283,1
65328,2017-03-15T15:28:47.530,1454,880,1
65778,2017-04-10T20:13:26.747,2701,2125,1
65836,2017-04-17T20:42:55.000,2708,1955,3
66277,2017-06-07T22:53:13.070,2723,1117,1
66408,2017-06-27T10:53:04.183,2733,1117,1
66469,2017-07-05T07:33:55.570,2740,1117,1
66841,2017-08-04T19:31:55.583,2762,1117,1
66919,2017-08-17T01:37:08.303,2770,1117,1
67021,2017-08-25T17:04:35.663,2777,2766,1
67048,2017-08-31T03:04:47.237,2780,912,1
67060,2017-08-31T23:13:07.320,2781,1081,1
71781,2017-11-21T14:37:47.787,2826,2630,1
72951,2017-12-13T05:45:35.493,2842,1585,1
73756,2018-02-08T23:43:21.803,2882,250,1
74023,2018-02-20T04:01:13.680,2895,2414,1
74050,2018-02-20T07:33:09.533,2891,880,1
74093,2018-02-21T14:26:20.947,2889,2821,1
74205,2018-02-27T00:33:30.707,2899,2900,1
74289,2018-02-28T20:24:41.243,2900,2908,1
74406,2018-03-09T15:13:01.670,2917,2889,1
74407,2018-03-09T15:13:01.670,2917,98,1
74438,2018-03-13T21:08:45.613,2919,2515,1
74439,2018-03-13T21:08:45.613,2919,2553,1
74440,2018-03-13T21:08:45.613,2919,2587,1
77303,2018-04-06T00:54:45.840,2955,2191,1
77322,2018-04-06T15:11:14.843,2958,1302,1
77323,2018-04-06T15:11:14.843,2958,1332,1
77324,2018-04-06T15:11:14.843,2958,2242,1
78844,2018-05-06T17:45:13.747,2977,1302,1
78978,2018-05-18T09:43:14.413,2993,1673,1
78979,2018-05-18T09:43:14.413,2993,1593,1
81491,2018-05-23T18:43:07.680,2999,2835,1
81661,2018-06-01T09:29:52.520,3000,345,1
